,link,title,premise,post_time,highlight,information,detail
0,,,,,,,
1,th.jobsdb.com/th/jobs/in-huaykwang/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Machine Learning Engineer/วิศวกรด้านแมชชีนเลิร์นนิง," & AIGEN CO., LTD. & Huaykwang",1d ago," & Machine/deep learning & Bachelor Degree. Experience in NLP, machine vision & Flexible hrs., WFH, Health Insurance","Career LevelEntry LevelQualificationDegreeYears of Experience3 yearsJob TypeFull Time, PermanentCompany Websitehttp://www.aigencorp.comJob FunctionsInformation Technology (IT), Programming / Software Development, Data Scientist &&& IndustryInformation TechnologyBenefits & OthersDental insurance, Education allowance, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours","We are a subsidiary of Muangthai Group Holding, with a mindset of a technology start-up. We are looking to innovate and transform various industries with the power of AI and machine learning with the mission to make AI accessible to all businesses. If you are self-motivated, passionate about how AI and technology can improve people’s lives, join us to be part of the growth story.
Research and development of deep learning and other machine learning algorithms.
Work with data team to acquire clean data and labelling.
Work with dev team to deploy the applications.
Qualification

Minimum of Bachelor’s degree in Computer Engineering, Computer Science or related field.
3-5 years full-time work experience.
Good knowledge and experience with Python and packages commonly used for Machine Learning and Deep Learning or other programming languages.
Proven experience in and understanding of NLP or machine vision.
Experience with public cloud provider (AWS, GCP, Azure) or deployment of web service is a plus.
Self starter. Can work with minimal amount of supervision.
Why work with us?

Competitive salary
Online Course and Career Development Courses
Flexible working hours and work environment
Work from home
Annual Health Checkup
Health and life insurance plan
Dental Allowance
Provident fund
Company sponsored laptop
Company Outing
Company Town Hall
Board Games"
2,th.jobsdb.com/th/jobs/in-phayathai/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Machine Learning Engineer, & บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน) & Phayathai,3d ago, & Convert models towards production environment & Manage ML operations & infrastructure & Location: BTS Ari-Saphan Khwai,"Career LevelEntry LevelQualificationDegreeYears of Experience2 yearsJob TypeFull TimeCompany Websitehttp://www.ais.co.thJob FunctionsInformation Technology (IT), DBA, Data Scientist &&& IndustryTelecommunicationBenefits & OthersDental insurance, Life insurance, Medical insurance, Overtime pay, Performance bonus, Five-day work week","Job Overview
Be the member in AIS advanced Analytics Unit who ignite the value of machine learning through ML model production management, ML operations, and data asset enhancement.

Responsibilities
Collaborate with data scientists and data engineers/data architects at the IT teams to convert machine learning models to run effectively on the production environment.
Plan and manage infrastructures for ML production and machine learning operations.
Work with data scientists to optimize ML codes.
Design and implement process to predict or detect ML model failures, and how to preempt or fix failures in timely manner.
Enrich existing ML frameworks and libraries to ensure smooth ML operations.
Work with data scientists in ML model governance, laying out plans for to track model performances and data drifts, to identify time of retraining or obsoleting the models.
Search for new data sets and engineer new data features for advanced analytics works.
Collaborate with other teams to identify valuable but uncollected data, and set up the process to collect and manage that data for advanced analytics works.
Qualification
Proficient in SQL and Python
Proficient in DevOps tools and concepts such as Git, Kubernetes, CI/CD
Knowledge in big data framework (e.g. Hadoop) and Cloud.
Good understanding of the workflows and pipelines architecture of machine learning operations would be of great advantage
Knowledge of data science toolkits and statistical modeling will be advantageous
Excellent in communication skills for cross-function coordination.
Domain knowledge of telecom industry (network, technology, products and services, markets, etc.) would be advantageous
Have a creative and process-oriented mindset"
3,th.jobsdb.com/th/jobs/in-sathorn/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer," & Bangkok Industrial Gas Co., Ltd. & Sathorn",22h ago," & Data Architecture/ Data Engineer/ Data Science & ETL, SQL, Python, AWS Cloud, Azure, R Code, C# & Scala, Spark, Apache Airflow","Job TypeFull Time, PermanentCompany Websitehttp://www.bigth.comJob FunctionsInformation Technology (IT), DBA &&& IndustryChemical/Plastic/Paper/PetrochemicalBenefits & OthersDental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week, Flexible working hours","Responsibilities:
Responsible for data architecture.
Design, constructs, install, test and maintain highly scalable data management systems.
Improve data foundation procedures, guidelines and standards and data availability by acting as a liaison between business analysts, apps development team and Digital Transformation team.
Develops data and information infrastructure by creating and modifying solutions to extract information from company databases.
Produces data through Python/SQL and other programming tools and develops reports/ dashboards.
Build data pipelines data processing tools and technologies in open source and proprietary products.
Identify incomplete data, improve quality of data, and integrate data from several data sources.
Contribute towards designing data models, ETL mappings and associated objects of analytical solutions.
Design data schema and operate internal AWS data warehouses, SQL and time series database systems
Requirements:
Bachelor’s degree in in Computer Science, Engineering, Statistics, Mathematics or equivalent.
At least 5 years working experience in with data analysis and preparation, including experience in dealing with very large data sets and unstructured data.
Deep understanding of data warehousing concepts, relational star-schema database designs and big data platforms and associated tools.
Good knowledge of SQL and relational database models.
Good understanding of data modeling
Work in agile environment.
Experience with design and implement data pipeline
Required skills/programming tools
Strong SQL language and knowledge of SQL server databases
Strong Python language
Power BI platform / Grafana
Java, R Code, C#, Scala, and Spark is plus
Apache Airflow is plus
API programming
Bonus skills: InfluxDB / MariaDB
Passion in cloud computing (Azure / AWS cloud) is a must as using XaaS to simplify IT deployments.
With a strong understanding of the Big Data, Machine Learning and Artificial Intelligence.
Able to work in teams, contribute ideas and share knowledge proactively.
Self-motivated and unafraid to dive into detailed technical issues.
Business-level English (written and spoken).
Open to adopt new concepts, ideas and able to grasp new technology easily."
4,th.jobsdb.com/th/jobs/in-pathumwan/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist, & KASIKORN Business - Technology Group (KBTG) & Pathumwan,1d ago, & Marketing & Customer Insights / Wealth & Risk / Fraud / Credit Scoring / Income Ratings & Voice / Speech / Face Recog / Biometrics / Image,"Job TypeFull Time, PermanentJob FunctionsInformation Technology (IT), Data Scientist &&& IndustryInformation TechnologyBenefits & OthersDental insurance, Education allowance, Life insurance, Medical insurance, Performance bonus, Five-day work week, Flexible working hours","Overview:
                 At KBTG, we are looking for a technically strong and dedicated person to join the position of Data Scientist. Our Machine Learning and Data Science team consists of data scientists and machine learning engineers who help other teams apply data science / machine learning / artificial intelligence tools and techniques to financial products and services.  You will enjoy working with rich data sets, cutting-edge technology, and the ability to see your insights turned into real impact on customers and society. 
Responsibilities:
Work in a cross-functional team to define problems, quantify metrics, explore data, build analytical models, conduct experimentation, and make recommendations
Build and maintain optimization models, visualizations, experiments, forecasting algorithms, and machine learning models
Leverage various tools in data processing and modeling to drive efficient advanced analytics
Work with business partners to understand processes and leverage data to gain actionable insights 
Use predictive modeling to enhance and optimize customer experiences, revenue generation, and business operation
Communicate findings and recommendations to all stakeholders as well as drive decision making
Explore state-of-the-art data science and machine learning research
Be part of an active group of data science and machine learning practitioners that shape the direction of machine learning and artificial intelligence of the organization
Qualifications:
BS (or higher, e.g., MS, or PhD) in quantitative field (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research or other related field) 
Good communication with strong analytical and problem-solving skills 
Experience with Machine Learning, Statistics, or other data analysis tools and techniques
Experience in extraction, cleaning, analysis, and presentation for medium to large datasets 
Experience with at least one programming language (e.g., Python, R, Scala) 
Experience writing efficient SQL queries 
Experience with tools for data visualization (Matplotlib, Tableau, or Qlik), scientific computing (e.g., NumPy, SciPy, Pandas, Scikit-learn, dplyr, or ggplot2) and machine learning (e.g., PyTorch, Caffe2, TensorFlow, Keras or Theano). 
Experience with statistics methods such as forecasting, time series, hypothesis testing, classification, clustering or regression analysis 
Experience working with distributed computing tools (Hadoop, Hive, Spark, etc.) and Cloud platform (e.g., AWS, Azure, GCP) considered a plus 
Experience with one or more advanced machine learning topics (e.g., deep learning, recommendation systems, knowledge representation, semi-supervised learning, reinforcement learning, representation learning, privacy-preserving learning, adversarial learning) considered a plus 

We offer attractive package including competitive Salary, medical/ life and dental insurance, Performance Bonus for our successful candidates. 
 Talent Acquisition, KBTG
 Know us more via http://www.kbtg.tech
 *All applications will be accepted by mail or attached in MS. Word or PDF only.*"
5,th.jobsdb.com/th/jobs/in-bangkok/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Back-end Python Developer," & SMART BITS GAMES CO., LTD. & Bangkok",1d ago," & Develop back office and back-end systems & Experienced with Python and Django & 5 days work week, bonus, work from home","Career LevelEntry LevelQualificationDegreeYears of ExperienceN/AJob TypeFull Time, PermanentJob FunctionsInformation Technology (IT), Application Specialist - Software, Programming / Software Development &&& IndustryInformation TechnologyBenefits & OthersDental insurance, Medical insurance, Work from home, Five-day work week, Flexible working hours","Job Description:
Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement.
Collaborating with the front-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user experience.
Developing ideas for new programs, products, or features by monitoring industry developments and trends.
Optimization of the application for maximum speed and scalability.
Participating in continuing education and training to remain current on best practices, learn new tools, and better assist other team members.
Qualifications:
Bachelor’s degree in computer programming, computer science, or a related field.
Fluency or understanding of Python progamming language and Django framework.
Strong understanding of the web development cycle, micro services architecture and CI/CD.
Focus on efficiency, user experience, and process improvement.
Excellent project and time management skills.
Strong problem solving and verbal and written communication skills.
Knowledge of software engineering and software development methodologies
Ability to work independently or with a group."
6,th.jobsdb.com/th/jobs/in-bangkok/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Machine Learning Engineer (Officer-Senior Officer) - Credit Risk Model (True Money)," & Ascend Group Co., Ltd. & Bangkok",1d ago, & Hybrid Working & Flexible Hours & Good Location,"Career LevelMiddleQualificationDegreeYears of Experience2 yearsJob TypeFull Time, PermanentJob FunctionsProfessional Services, Business Analysis / Data Analysis, Information Technology (IT), Programming / Software Development, Data Scientist &&& IndustryInformation TechnologyBenefits & OthersDental insurance, Gratuity, Life insurance, Performance bonus, Five-day work week, Flexible working hours","We are looking for a self-motivated, naturally curious person interested in solving complex lending issues in new and innovative ways. This individual must utilize expertise to query, design and translate complex data analysis into simple, user-friendly mediums that are easily digestible by business units and stakeholders. Candidates must be comfortable working on a team and have strong communication and presentation skills. The Data Scientist will have direct reporting responsibility to the machine leaning team lead.
Job responsibilities:
Design an ML production system end-to-end: project scoping, data needs, modeling strategies, and deployment requirements
Establish a model baseline, address concept drift, and prototype how to develop, deploy, and continuously improve a productionized ML application
Build data pipelines by gathering, cleaning, and validating datasets.
Establish data lifecycle by using data lineage and provenance metadata tools
Apply best practices and progressive delivery techniques to maintain and monitor a continuously operating production system.
Requirement skills:
Bachelor’s Degree in Computer Science, Operations Research, Engineering, or related quantitative discipline.
 2-5 years of experiences in programming languages such as Python, SQL or Scala
 5+ years of hands-on experience in building & implementing AI/ML solutions for senior role
Experience with python libraries - Numpy, scikit-learn, OpenCV, Tensorflow, Pytorch, Flask, Django
Experience with source version control (Git, Bitbucket)
Proven knowledge on Rest API, Docker, Google Big Query, VScode
Strong analytical skills and data-driven thinking"
7,th.jobsdb.com/th/jobs/in-klongtoey/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer, & Cloud Ace Ltd. & Klongtoey,22h ago," & 5 days working, Work From Home & Good in English conversation and writing & Fresh graduate is welcome","Job TypeFull Time, PermanentCompany Websitehttps://cloud-ace.co.th/Job FunctionsInformation Technology (IT), Support, Programming / Software Development, IT Consulting &&& IndustryInformation TechnologyBenefits & OthersOvertime pay, Performance bonus, Transportation allowance, Work from home, Five-day work week","Who are we?

We are officially recognized as experts in multiple fields by Google. By proving our experience and expertise we received Google Cloud Specializations in Application Development, Cloud Migration, Infrastructure, Data Analytics, Machine Learning, Security and Training in Infrastructure and Data Analytics. With these various specializations we are leading the world by the vision ‘Making business great with the power of the Cloud’.
Our Site: https://cloud-ace.co.th/

Job Description
Develops and maintains scalable data pipelines and builds out new API integrations to support continuing increases in data volume and complexity
Collaborates with analytics and business teams to improve data models that feed business intelligence tools,increasing data accessibility and fostering data-driven decision making across the organization
Implements processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it
Writes unit/integration tests, contributes to engineering documents work
Performs data analysis required to troubleshoot data related issues and assist in the resolution of data issues
Works closely with a team of frontend and backend engineers, product managers, and analysts
Designs data integrations and data quality framework
Designs and evaluates open source and vendor tools for data lineage
Works closely with all business units and engineering teams to develop strategy for long term data platform architecture
Other duties as assigned by supervisor
Required Skills and Qualifications:
Bachelor's degree in Data Engineering, Big Data Analytics, Computer Engineering, or related field
Fresh graduate is welcome
Proven experience as a Data Engineer, Software Developer, or similar
Expert proficiency in Python, Java and SQL
Familiarity with GCP BigData Services is advantageous
Excellent analytical and problem-solving skills
Capacity to successfully manage a pipeline of duties with minimal supervision"
8,th.jobsdb.com/th/jobs/in-pravet/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,"Machine Learning Engineer, Advanced Analytics", & PANDORA & Pravet,3d ago," & understanding of business problems and tackling & Predictive modelling, forecasting trend & Optimization techniques to support","Career LevelMiddleQualificationMasterYears of Experience1 yearJob TypeFull TimeJob FunctionsInformation Technology (IT), DBA, MIS &&& IndustryJewellery/Gems/Watches","Do you want to help deliver AI at scale for the worlds largest jewellery brand? Do you have experience with building and scaling Data & Analytics products across the value chain? And do you know what it takes to productionalize ML models, and deliver business outcomes through Advanced Analytics? Do you want to be a part of a fast-moving, dynamic, and international team? Then we have a job for you.
Job description 
As ML Engineer, you will deploy and continuously  integrate models to provide insights and ensure end-user has  a great experience. You will ensure that models are up to date and correctly implemented in the pipeline. Further to that, you will model data and build tools to be used by data scientist creating ML models for various applications within the organisation – driving development and innovation in the area of AI systems.  
 
Responsibilities;
In depth understanding of business problems and tackling them using predictive modelling, forecasting and optimization techniques.
Build Python packages  that will be used by data scientists.
Deploy ML models (or its output) by developing integrations to other systems or deploy endpoints.
Apply data modelling and normalisation techniques on inbound data that is going to be used in the development of ML models.
Manage data pipelining surrounding the development of ML models.
Work in end-to-end analytical products, from exploration and prototyping to productionizing and testing.
Qualifications;
Ph.D. or a M.Sc. degree in computer science, software development, IT or related,
More than 4 years of experience in programming using Python , SQL, PySpark and/or Java,
Worked with cloud platforms; Azure, AWS,
Advanced knowledge of Airflow, Git, DevOps, Databricks, Docker, Kubernetes,
Experience working in a Scrum team and Agile setup,
Hands on experience with CI/CD and DevOps,
Experience in stream processing applications and mircoservices (Event Hub, Kafka),
Result-driven and action
 
Something about you:
How would you rate yourself on the 4 C’s? We believe that communication, collaboration, critical thinking and creativity are key competences that will help anyone regardless of job function, title or skillset, in becoming a success.
If you can see yourself working in a fast-paced entrepreneurial environment with many stakeholders, where your communication and interpersonal skills are needed and your ability to collaborate and innovate as a team is essential, we would love to hear from you.    
Your new team:
Say hello to the Advanced Analytics team in the Data & Analytics Center of Excellence at Pandora – the world’s largest jewellery brand. As part of the 80+ colleagues in the wider CoE, we are a dedicated group of data-driven professionals who support business units across the full value chain with actionable insights and predictive analytics.
We have a data lake, a unified analytics platform and solid communication skills that help us translate data into business value. Your new team consists of a diverse and happy group of analysts, scientists, engineers and product people with a clear mission: We are here to deliver data-driven experiences in all consumer journey touchpoints, develop actionable insights to inform business decisions across supply chain, product, marketing, commerce, finance, HR and more - and have fun while doing it."
9,th.jobsdb.com/th/jobs/in-sathorn/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist, & Land and Houses Bank Public Company Limited & Sathorn,2d ago," & machine learning algorithms, optimization models & visualization, data preparation, discritization & predictive models","Career LevelMiddleQualificationMasterYears of Experience3 yearsJob TypePermanentCompany Websitehttp://www.lhbank.co.thJob FunctionsBanking / Finance, Others, Information Technology (IT), Data Scientist &&& IndustryFinancial ServicesBenefits & OthersDental insurance, Medical insurance, Performance bonus, Five-day work week","Job Scope:
Explore customer journey, business issues, and provide solutions with data analytic approach/algorithm
Collaborate with stakeholders and identify data requirements for analysis and analytical solutions including IT&MIS and business user
Work closely with IT&MIS to acquire data and process data cleansing prepared for model
Develop machine learning algorithms, optimization model, insight finding, and recommendation to action
Develop visualization to display regular report required for business use
Communicate insight finding and recommendation to business user and all stakeholders
Data preparation and cleansing to maintain database quality
Qualification:
Master’s degree in Computer Science/ Engineering/ Mathematics/ Statistics/ or related fields of study in Operations Research, Data Science/Analytics, AI
Good programming skill and experience in Data Science and Data Cleansing & Modelling (ML, Optimization, advance statistics)
Good knowledge of Database programming, SQL, Python, Java, R, API
Experience with visualization tool such as Tableau, PowerBI, Qlik, Matplotlib
Fresh Grad is welcome
Contact Person: New Phisut (People Strategic Partner)
Mobile Phone: 097 164 6048"
