,link,title,company,area,post_time,applicants,level,employment_type,function,industries,detail
0,,,,,,,,,,,
1,https://th.linkedin.com/jobs/view/data-scientist-at-fujitsu-3293252462?refId=pR7yM4t0O9dr6Omljc%2F9TA%3D%3D&trackingId=C37pOCw5Mi%2BmA5a%2BRYTBMQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,Data Scientist,Fujitsu,Bangkok Metropolitan Area,3 weeks ago,142 applicants,Mid-Senior level,Full-time,Information Technology and Project Management,IT Services and IT Consulting,"Responsibilities:Interacting with initiative leaders and relevant teams to translate business needs into requirements for data, analytics and data science solutions;Assessing the effectiveness and accuracy of data sources and data gathering techniques;Defining criteria for monitoring the integrity of data science models;Driving data modelling and testing;Carrying out quality assurance of analytic tools and methods;Applying strong expertise in data science (eg, machine learning, data mining) to develop customised and innovative solutions;Developing best practice for analytics, including models, standards, tools, etc;Working with relevant functions to track the impact of analytics on business; andWorking with the IT function and project leaders in providing technical guidance regarding data architecture, data models and data management. Qualifications:Bachelor/Master/Doctor in computer science, statistics, operations research or other related technical discipline;A suitable level of experience in a statistical and/or data science role;Strong problem-solving skills with an emphasis on the development of data science products;Experience using analytic tools and languages, such as Python, R, Matlab, PowerBI, Spotfire and SQL;A drive to learn;Experience working with large data sets and simulation/optimisation tools;A good command of the English language;Preferably experience and skills in project management; andPreferably proficiency in one or more of the following data science areas: deep learning, reinforcement learning, machine learning, natural language processing, cloud computing and big data."
2,https://th.linkedin.com/jobs/view/data-scientist-at-scb-%E2%80%93-siam-commercial-bank-3303495884?refId=pR7yM4t0O9dr6Omljc%2F9TA%3D%3D&trackingId=RL0MPJKyu%2FOuLSEjVyK7tQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Data Scientist,SCB – Siam Commercial Bank,"Bangkok, Bangkok City, Thailand",2 weeks ago,99 applicants,Associate,Full-time,"Engineering, Information Technology, and Science","IT Services and IT Consulting, Software Development, and Banking","Job Summary:As a Data Scientist in SCB Data Analytics, you will join a group of enthusiastic people working passionately to leverage the wealth of data for business uses. You will analyze the data, extract insights, and create models for improving customer experience and formulating business strategies. You will work closely with multiple teams to identify opportunities and drive business results with data-driven research. Our team is constantly looking for people with strong quantitative and analytical backgrounds, who are excited about challenges at the intersection of data, math, coding, and machine learning.Job Description:Apply statistical, optimization, and machine learning methods to large, complex data sets to solve real-world business problems and provide actionable recommendationsCollaborate with cross-functional teams (engineers, products, designers) to implement end-to-end model development process from identifying business problems to executing models in a production environment.Research and develop new feature engineering and quantitative modeling techniques to enhance the team’s ability to predict future outcomesQualifications:Bachelor, Master, or PhD degree in Engineering, Computer Science, Math, Physics, Statistics or other areas that are highly quantitativeExperience with statistical programming languages (e.g., Python, R, pandas) and database software (e.g., SQL, PySpark)Foundational knowledge in statistics and machine learning (e.g., regression, classification, clustering, hypothesis testing)Strong analytical problem-solving abilitiesPreferred Qualifications:Experience applying machine learning and statistical methods to large datasetsAdvanced knowledge of one or more specialized areas in statistics and machine learning (e.g. natural language processing, deep learning, recommender systems, experimental designs, convex optimization, stochastic processes)Demonstrated ability to conduct research (e.g., self-driven, persevering, creative)Outstanding coding skills or software development backgroundExcellent command of English with the ability to communicate complex ideas in simple terms"
3,https://th.linkedin.com/jobs/view/data-scientist-at-td-tawandang-co-ltd-carabao-group-3322258253?refId=pR7yM4t0O9dr6Omljc%2F9TA%3D%3D&trackingId=bLfp5a0vOwdLb%2F78krM%2BLQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Data Scientist,"TD Tawandang Co.,Ltd. - Carabao Group","Bangkok City, Thailand",1 week ago,57 applicants,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Retail,"Data Scientist Overviewhttps://fb.watch/f_w2vpS88s/Key ResponsibilitiesApply statistical and machine learning methods to large, complex data sets to draw insights and provide actionable recommendations.Solve complex problems on both technical and business sides using advanced analytical methods.Work with Engineering teams to implement end-to-end process from model development to testing, validation, and deployment.Research and develop new quantitative models and frameworks to enhance the company’s data science capability.Key Requirements/Skills/ExperiencesBachelor’s degree or higher in related fields.2+ years of experience in relevant fieldsExperience applying statistical methods to analyze and provides actionable recommendation.Be able to explain complex analytics in simple terms.Proficient in Python and SQL.Experience with Machine Learning. Deep learning is preferable.Understand basic concept and math under the hood of machine learning.Have a data solutions concept.Strong analytical problem-solving capabilities.Have a retail business background is a big plus.Fluent in English & excellent interpersonal communication."
4,https://th.linkedin.com/jobs/view/data-scientist-at-western-digital-3321372780?refId=pR7yM4t0O9dr6Omljc%2F9TA%3D%3D&trackingId=mVG04D7X6TlpPktBvW8gRw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Data Scientist,Western Digital,"Ayutthaya, Phra Nakhon Si Ayutthaya, Thailand",1 week ago,Be among the first 25 applicants,Entry level,Full-time,Strategy/Planning,"Computer Hardware Manufacturing, Semiconductor Manufacturing, and Computers and Electronics Manufacturing","Company DescriptionAt Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.Binge-watch any shows, use social media or shop online lately? You’ll find Western Digital supporting the storage infrastructure behind many of these platforms. And, that flash memory card that captures and preserves your most precious moments? That’s us, too.We offer an expansive portfolio of technologies, storage devices and platforms for business and consumers alike. Our data-centric solutions are comprised of the Western Digital®, G-Technology™, SanDisk® and WD® brands.Today’s exceptional challenges require your unique skills. It’s You & Western Digital. Together, we’re the next BIG thing in data.Job DescriptionAs a Data Scientist, you will be working on Digital Innovation projects leveraging 4IR technologies. You will be collaborating with Data Science Team to design and build Big Data tools/models/analytics to unlock business value from data insights. You are required to constantly learn new front-tier technology and creatively apply/deliver solutions to manufacturing operations to meet goals.Essential Duties And ResponsibilitiesWork with a global team of data scientists, data engineers, software engineers, process & product engineers, design engineers, etc collaboratively to develop new data science solutions that improve productivity and operations metrics.Leverage data mining techniques in mathematics, statistics, information technology, machine learning, deep learning, data engineering, visualization etc to discover insightful patterns.Work on projects and develop solutions that would be of high impact to various areas at all manufacturing.Develop/take an idea, access and prepare necessary data to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins.Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process, ERP/MES data etc to extract meaningful information for analytics.Design, model and prototype machine learning models and algorithms to solve specific Supply Chain, Manufacturing, Inventory Management & Distribution problems.Strong understanding of business strategy to develop a clear vision of data scienceThe ability to develop, tune, and deploy predictive models that explain or predict business outcomesPrepare and deliver presentations with data visualizations and business conclusionsDevelop and code, software programs, algorithms, typically on very large datasets, from multiple sources, including IoT devices/sensorsInterprets actionable insights from large data and metadata sources and communicates the findings to product, service, and business leaders for product improvementRequiredQualificationsBachelor's Degree or Master's Degree in related fields and research projects related to Analytics/Data Science with relevant industry or academia experience.Experience with SQL, Relational databases, Big Data platforms, AWS, etc.Experience in applied statistics and statistical modeling. Practical experience in the application of ML and AI algorithms.Experience with Hadoop or other MapReduce paradigms, and associated languages such as Hive, Presto, etc.Experience working with structured, semi-structured, and unstructured data sourcesPreferedFull stack development experience is preferredKnowledge of web front-end development: HTML/CSS, JavaScript (JQuery or Angular preferred)Knowledge of Hadoop Environment, including Hive, Map Reduce, No/SQL, HBase, and SparkExcellent knowledge of at least one of the following programming languages / frameworks: Python, R, Java, Matlab, SQL, ScalaFamiliar with collaborative solutions, model & code versioning (Github), solution packaging (Docker)Practical experience of cloud-based solutions is a strong plus.Knowledge of Software Engineering standards and best practices is a strong plusKnowledge of the AI/ML Model Lifecycle Management and tools including EDA, Modelling, Integration/Deployment, Data/Model drift detection, Model retraining, etc.Up-to-date knowledge and skills in recent Machine Learning tools and techniques such as NN, NLP, Deep Learning, etcPassion for Innovation, collaboration with the eco-system, and creating value to the organizationAptitude to interact with functional or business stakeholders who are not familiar with ML Engineering considerations.Self-starterSkillsStrong communication, analytical and creative problem-solving skillsStrategically focused, impact-oriented, highly organized, and adaptable.Strong knowledge and experience with R, Python, or other statistical softwareFamiliarity with core techniques in statistical and machine learning e.g. regularized regression, time series analysis, decision trees, boosting algorithms, neural networks, frequentist and Bayesian inference, power calculation, and experimental design, clustering, collaborative filtering, NLP, cross-validation and bootstrapping, and data visualizationStrong interpersonal skills and maintain positive relationships with colleaguesProactive and collaborative effectively in a rapidly changing environmentSolid grasp of statistics and probabilityAbility to solve problems and provide complex solutions with limited directionAnalytical mind and business acumen. Application understanding of machine-learning and operations researchExperience with manipulating massive-scale structured and unstructured data.Excellent communications and presentation skills, with the ability to synthesize, simplify and explain complex problems to different types of audiences, including executives. A great team player.Results-oriented, with growth and imaginative mindset and strong dedication and passion to identify and implement improvement opportunities. Strong drive for results.Proven track record to perform in an environment characterized by volatility, uncertainty, complexity, and ambiguity (VUCA)Ability to execute requests with strong attention to detail and strong time-management skillsKnowledge in web crawling, natural language processing, visualization, and dashboard creationAbility to deploy data science solutions in cloud analytics infrastructure and AWSExcellent written and verbal English-language communication and presentation skillsAdditional InformationWestern Digital thrives on the power and potential of diversity. As a global company, we believe the most effective way to embrace the diversity of our customers and communities is to mirror it from within. We believe the fusion of various perspectives results in the best outcomes for our employees, our company, our customers, and the world around us. We are committed to an inclusive environment where every individual can thrive through a sense of belonging, respect and contribution.Western Digital is committed to offering opportunities to applicants with disabilities and ensuring all candidates can successfully navigate our careers website and our hiring process. Please contact us at staffingsupport@wdc.com to advise us of your accommodation request. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying."
5,https://th.linkedin.com/jobs/view/data-scientist-at-western-digital-3321374287?refId=pR7yM4t0O9dr6Omljc%2F9TA%3D%3D&trackingId=yXbDV%2BHqPMp5kOr1reBjWw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Data Scientist,Western Digital,"Ayutthaya, Phra Nakhon Si Ayutthaya, Thailand",1 week ago,Be among the first 25 applicants,Entry level,Full-time,Engineering,"Computer Hardware Manufacturing, Semiconductor Manufacturing, and Computers and Electronics Manufacturing","Company DescriptionAt Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.Binge-watch any shows, use social media or shop online lately? You’ll find Western Digital supporting the storage infrastructure behind many of these platforms. And, that flash memory card that captures and preserves your most precious moments? That’s us, too.We offer an expansive portfolio of technologies, storage devices and platforms for business and consumers alike. Our data-centric solutions are comprised of the Western Digital®, G-Technology™, SanDisk® and WD® brands.Today’s exceptional challenges require your unique skills. It’s You & Western Digital. Together, we’re the next BIG thing in data.Job DescriptionAs a Data Scientist, you will be working on Digital Innovation projects leveraging 4IR technologies. You will be collaborating with Data Science Team to design and build Big Data tools/models/analytics to unlock business value from data insights. You are required to constantly learn new front-tier technology and creatively apply/deliver solutions to manufacturing operations to meet goals.Essential Duties And ResponsibilitiesWork with a global team of data scientists, data engineers, software engineers, process & product engineers, design engineers, etc collaboratively to develop new data science solutions that improve productivity and operations metrics.Leverage data mining techniques in mathematics, statistics, information technology, machine learning, deep learning, data engineering, visualization etc to discover insightful patterns.Work on projects and develop solutions that would be of high impact to various areas at all manufacturing.Develop/take an idea, access and prepare necessary data to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins.Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process, ERP/MES data etc to extract meaningful information for analytics.Design, model and prototype machine learning models and algorithms to solve specific Supply Chain, Manufacturing, Inventory Management & Distribution problems.Strong understanding of business strategy to develop a clear vision of data scienceThe ability to develop, tune, and deploy predictive models that explain or predict business outcomesPrepare and deliver presentations with data visualizations and business conclusionsDevelop and code, software programs, algorithms, typically on very large datasets, from multiple sources, including IoT devices/sensorsInterprets actionable insights from large data and metadata sources and communicates the findings to product, service, and business leaders for product improvementRequiredQualificationsBachelor's Degree or Master's Degree in related fields and research projects related to Analytics/Data Science with relevant industry or academia experience.Experience with SQL, Relational databases, Big Data platforms, AWS, etc.Experience in applied statistics and statistical modeling. Practical experience in the application of ML and AI algorithms.Experience with Hadoop or other MapReduce paradigms, and associated languages such as Hive, Presto, etc.Experience working with structured, semi-structured, and unstructured data sourcesPreferedFull stack development experience is preferredKnowledge of web front-end development: HTML/CSS, JavaScript (JQuery or Angular preferred)Knowledge of Hadoop Environment, including Hive, Map Reduce, No/SQL, HBase, and SparkExcellent knowledge of at least one of the following programming languages / frameworks: Python, R, Java, Matlab, SQL, ScalaFamiliar with collaborative solutions, model & code versioning (Github), solution packaging (Docker)Practical experience of cloud-based solutions is a strong plus.Knowledge of Software Engineering standards and best practices is a strong plusKnowledge of the AI/ML Model Lifecycle Management and tools including EDA, Modelling, Integration/Deployment, Data/Model drift detection, Model retraining, etc.Up-to-date knowledge and skills in recent Machine Learning tools and techniques such as NN, NLP, Deep Learning, etcPassion for Innovation, collaboration with the eco-system, and creating value to the organizationAptitude to interact with functional or business stakeholders who are not familiar with ML Engineering considerations.Self-starterSkillsStrong communication, analytical and creative problem-solving skillsStrategically focused, impact-oriented, highly organized, and adaptable.Strong knowledge and experience with R, Python, or other statistical softwareFamiliarity with core techniques in statistical and machine learning e.g. regularized regression, time series analysis, decision trees, boosting algorithms, neural networks, frequentist and Bayesian inference, power calculation, and experimental design, clustering, collaborative filtering, NLP, cross-validation and bootstrapping, and data visualizationStrong interpersonal skills and maintain positive relationships with colleaguesProactive and collaborative effectively in a rapidly changing environmentSolid grasp of statistics and probabilityAbility to solve problems and provide complex solutions with limited directionAnalytical mind and business acumen. Application understanding of machine-learning and operations researchExperience with manipulating massive-scale structured and unstructured data.Excellent communications and presentation skills, with the ability to synthesize, simplify and explain complex problems to different types of audiences, including executives. A great team player.Results-oriented, with growth and imaginative mindset and strong dedication and passion to identify and implement improvement opportunities. Strong drive for results.Proven track record to perform in an environment characterized by volatility, uncertainty, complexity, and ambiguity (VUCA)Ability to execute requests with strong attention to detail and strong time-management skillsKnowledge in web crawling, natural language processing, visualization, and dashboard creationAbility to deploy data science solutions in cloud analytics infrastructure and AWSExcellent written and verbal English-language communication and presentation skillsAdditional InformationWestern Digital thrives on the power and potential of diversity. As a global company, we believe the most effective way to embrace the diversity of our customers and communities is to mirror it from within. We believe the fusion of various perspectives results in the best outcomes for our employees, our company, our customers, and the world around us. We are committed to an inclusive environment where every individual can thrive through a sense of belonging, respect and contribution.Western Digital is committed to offering opportunities to applicants with disabilities and ensuring all candidates can successfully navigate our careers website and our hiring process. Please contact us at staffingsupport@wdc.com to advise us of your accommodation request. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying."
6,https://th.linkedin.com/jobs/view/data-scientist-at-western-digital-3321371765?refId=pR7yM4t0O9dr6Omljc%2F9TA%3D%3D&trackingId=S6fafhXCZ6FF8fTxdkw31w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Data Scientist,Western Digital,"Ayutthaya, Phra Nakhon Si Ayutthaya, Thailand",1 week ago,Be among the first 25 applicants,Entry level,Full-time,Engineering,"Computer Hardware Manufacturing, Semiconductor Manufacturing, and Computers and Electronics Manufacturing","Company DescriptionAt Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.Binge-watch any shows, use social media or shop online lately? You’ll find Western Digital supporting the storage infrastructure behind many of these platforms. And, that flash memory card that captures and preserves your most precious moments? That’s us, too.We offer an expansive portfolio of technologies, storage devices and platforms for business and consumers alike. Our data-centric solutions are comprised of the Western Digital®, G-Technology™, SanDisk® and WD® brands.Today’s exceptional challenges require your unique skills. It’s You & Western Digital. Together, we’re the next BIG thing in data.Job DescriptionAs a Data Scientist, you will be working on Digital Innovation projects leveraging 4IR technologies. You will be collaborating with Data Science Team to design and build Big Data tools/models/analytics to unlock business value from data insights. You are required to constantly learn new front-tier technology and creatively apply/deliver solutions to manufacturing operations to meet goals.Essential Duties And ResponsibilitiesWork with a global team of data scientists, data engineers, software engineers, process & product engineers, design engineers, etc collaboratively to develop new data science solutions that improve productivity and operations metrics.Leverage data mining techniques in mathematics, statistics, information technology, machine learning, deep learning, data engineering, visualization etc to discover insightful patterns.Work on projects and develop solutions that would be of high impact to various areas at all manufacturing.Develop/take an idea, access and prepare necessary data to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins.Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process, ERP/MES data etc to extract meaningful information for analytics.Design, model and prototype machine learning models and algorithms to solve specific Supply Chain, Manufacturing, Inventory Management & Distribution problems.Strong understanding of business strategy to develop a clear vision of data scienceThe ability to develop, tune, and deploy predictive models that explain or predict business outcomesPrepare and deliver presentations with data visualizations and business conclusionsDevelop and code, software programs, algorithms, typically on very large datasets, from multiple sources, including IoT devices/sensorsInterprets actionable insights from large data and metadata sources and communicates the findings to product, service, and business leaders for product improvementRequiredQualificationsBachelor's Degree or Master's Degree in related fields and research projects related to Analytics/Data Science with relevant industry or academia experience.Experience with SQL, Relational databases, Big Data platforms, AWS, etc.Experience in applied statistics and statistical modeling. Practical experience in the application of ML and AI algorithms.Experience with Hadoop or other MapReduce paradigms, and associated languages such as Hive, Presto, etc.Experience working with structured, semi-structured, and unstructured data sourcesPreferedFull stack development experience is preferredKnowledge of web front-end development: HTML/CSS, JavaScript (JQuery or Angular preferred)Knowledge of Hadoop Environment, including Hive, Map Reduce, No/SQL, HBase, and SparkExcellent knowledge of at least one of the following programming languages / frameworks: Python, R, Java, Matlab, SQL, ScalaFamiliar with collaborative solutions, model & code versioning (Github), solution packaging (Docker)Practical experience of cloud-based solutions is a strong plus.Knowledge of Software Engineering standards and best practices is a strong plusKnowledge of the AI/ML Model Lifecycle Management and tools including EDA, Modelling, Integration/Deployment, Data/Model drift detection, Model retraining, etc.Up-to-date knowledge and skills in recent Machine Learning tools and techniques such as NN, NLP, Deep Learning, etcPassion for Innovation, collaboration with the eco-system, and creating value to the organizationAptitude to interact with functional or business stakeholders who are not familiar with ML Engineering considerations.Self-starterSkillsStrong communication, analytical and creative problem-solving skillsStrategically focused, impact-oriented, highly organized, and adaptable.Strong knowledge and experience with R, Python, or other statistical softwareFamiliarity with core techniques in statistical and machine learning e.g. regularized regression, time series analysis, decision trees, boosting algorithms, neural networks, frequentist and Bayesian inference, power calculation, and experimental design, clustering, collaborative filtering, NLP, cross-validation and bootstrapping, and data visualizationStrong interpersonal skills and maintain positive relationships with colleaguesProactive and collaborative effectively in a rapidly changing environmentSolid grasp of statistics and probabilityAbility to solve problems and provide complex solutions with limited directionAnalytical mind and business acumen. Application understanding of machine-learning and operations researchExperience with manipulating massive-scale structured and unstructured data.Excellent communications and presentation skills, with the ability to synthesize, simplify and explain complex problems to different types of audiences, including executives. A great team player.Results-oriented, with growth and imaginative mindset and strong dedication and passion to identify and implement improvement opportunities. Strong drive for results.Proven track record to perform in an environment characterized by volatility, uncertainty, complexity, and ambiguity (VUCA)Ability to execute requests with strong attention to detail and strong time-management skillsKnowledge in web crawling, natural language processing, visualization, and dashboard creationAbility to deploy data science solutions in cloud analytics infrastructure and AWSExcellent written and verbal English-language communication and presentation skillsAdditional InformationWestern Digital thrives on the power and potential of diversity. As a global company, we believe the most effective way to embrace the diversity of our customers and communities is to mirror it from within. We believe the fusion of various perspectives results in the best outcomes for our employees, our company, our customers, and the world around us. We are committed to an inclusive environment where every individual can thrive through a sense of belonging, respect and contribution.Western Digital is committed to offering opportunities to applicants with disabilities and ensuring all candidates can successfully navigate our careers website and our hiring process. Please contact us at staffingsupport@wdc.com to advise us of your accommodation request. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying."
7,https://th.linkedin.com/jobs/view/data-scientist-at-aia-thailand-3317603121?refId=pR7yM4t0O9dr6Omljc%2F9TA%3D%3D&trackingId=CClW3p%2BgATDSAvVKtWCCLw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Data Scientist,AIA Thailand,Bangkok Metropolitan Area,1 week ago,55 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Insurance,"ResponsibilitiesDesign, develop, and evaluate statistical and machine learning models to address business issues and opportunitiesImplement analytical models into production systems working alongside ML engineers and other stakeholdersCommunicate findings from analytical modeling results to relevant stakeholders to improve decision making and drive business performanceDevelop in depth understanding of the business and be able to advise the business on the right analytics approachQualificationsBachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering)2-5 years of working experience in data scientist rolesDeep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithmsStrong mathematical and programming foundationExperienced in processing and manipulating massive datasets with Python/Spark/SQL/RExperienced with Databricks and MLFlow is a plusStrong sense of urgency and accountability to drive business outcomes"
8,https://th.linkedin.com/jobs/view/data-scientist-at-line-company-thailand-3089886796?refId=pR7yM4t0O9dr6Omljc%2F9TA%3D%3D&trackingId=3ZQz%2F68whZN2cYgHwYN8AQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Data Scientist,LINE Company (Thailand),Bangkok Metropolitan Area,2 weeks ago,Over 200 applicants,Mid-Senior level,Full-time,Information Technology and Consulting,"IT Services and IT Consulting and Technology, Information and Internet","ResponsibilitiesBoost LINE service quality by leveraging machine learning techniques and advanced analytics (e.g., regression, classification, clustering, time series, gradient boosting tree)Collect logs, extract features, and build machine learning models according to business requirementsEngineer features for machine learningPrototype machine learning algorithms for LINE TH services Minimum QualificationsMaster’s or doctorate’s degree or equivalent experience in Computer Science or related quantitative fields5+ years of experience in machine learning, recommendation systems, data mining and/or artificial intelligenceExperience with solving real-world problems using machine learning techniques in a Linux environmentStrong SQL skillsExperience with the Hadoop ecosystem (Hive, MapReduce and Spark)Knowledge of core machine learning conceptsSpecialty in at least one area of machine learning - NLP, recommender systems, deep learning, or ads targetingGreat communication skills, organizational skills, and ability to perform multiple tasks as a team player Preferred QualificationsExperience with A/B testing environmentExperience with deep learningExperience with filesystems, server architectures, and distributed systemsExperience with optimization or game theoryFull-stack data scientist: strong statistics background, experience in algorithm programming, experimentation, data visualization, machine learning, optimization and big data LocationLINE Head Office, Gaysorn Tower, Bangkok"
9,https://th.linkedin.com/jobs/view/data-scientist-at-ttb-bank-3165768893?refId=pR7yM4t0O9dr6Omljc%2F9TA%3D%3D&trackingId=F6JAfwv3A8daFAnRq0pORQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Data Scientist,ttb bank,"Bangkok, Bangkok City, Thailand",2 weeks ago,Over 200 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Banking,"Senior Data Scientist, ttb analyticsAbout ttb analyticsttb analytics is data analytics COE of TMBThanachart Bank. We employ advanced analytics to drive bank-wide strategic and management decisions and to execute key data initiatives to improve customer financial well-being. Our ‘data products’, include personalized recommendation engine for retail customers, social listening, alternative data risk models, channel/network spatial optimization, satellite image processing for income estimation, mobile banking analytics and etc., leveraging on our massive and high-frequency dataset of transactional and behavioral data and also external data.As a senior data scientist @ttb analytics, you will,Work with business analysts of BUs/SUs to identify the business requirements and the expected deliverablesBuild, validate, test, and deploy machine learning or other data science models to predict and influence customers’ behavior with the goal of delivering better customer experience and optimizing products & processesTest and validate insights (e.g. A/B testing) via rapid experimentation and deploymentExecute on BUs/SUs analytics problems and communicates results and methodologies.Employs appropriate algorithm to discover patterns (e.g. transactional data)Identifies what data is available and relevant, including internal and external data sources, leveraging new data collection processes such as smart meters and geo-location information or social mediaPartner with data stewards in continuous improvement processes impacting data qualityWorks with data engineers and MIS to support data collection, integration and management based on BUs’ input. Identify and analyze patterns in the volume of data supporting initiatives, types of data (e.g. text, clickstream, voices) and the speed or sudden variation in data collectionQualificationsBachelor’s, or Master’s degree in Data Science, Engineering, Statistics, Mathematics, Operations Research or equivalent with at least 5 years of work experienceAdvanced knowledge of machine learning and big data analytics.Familiarity with unstructured data, NLP, Text Mining, Graph Theory, Deep Learning.Technical Skills : Python, R, Tableau, SQL.Experiences with Hadoop, PySpark, Hive, Scala, Kafka, Impala etc.Strong passion and ability to ask relevant business questions to leverage the Bank’s customer and external dataProactive personality with initiative, resourceful, enthusiasm, and able to think on his own ideaStrong capabilities to communicate clearly both in writing and presentations in Thai and English"
