,link,Title,Detials,Price per Night,Rating
1,https://www.airbnb.ca/rooms/36336266?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,Hotel La Croix Bronze One Queen,2 guests ·  · Studio ·  · 1 bed ·  · 1 shared bath,$161 CAD,4.48
2,https://www.airbnb.ca/rooms/549387797494551181?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,Private Standard Queen Room Near HNL Airport,2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,$186 CAD,4.25
3,https://www.airbnb.ca/rooms/41984952?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,Female Dorm Voted Best Hostel By Travel Channel,1 guest ·  · 1 bedroom ·  · 8 beds ·  · 1 shared bath,$80 CAD,4.55
4,https://www.airbnb.ca/rooms/43237326?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,Waikiki Partial Ocean Kitchenette w/ 1 Queen Bed,2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 private bath,$225 CAD,4.47
5,https://www.airbnb.ca/rooms/38086946?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,"1 King Bed w/Waikiki View, Hotel Renew",2 guests ·  · Studio ·  · 1 bed ·  · 1 private bath,$289 CAD,4.56
6,https://www.airbnb.ca/rooms/26063949?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,"King Room at The Equus, Near Ala Moana!",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,$226 CAD,4.56
7,https://www.airbnb.ca/rooms/24397028?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,Convenient Studio Condo in Waikiki #B,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$257 CAD,4.69
8,https://www.airbnb.ca/rooms/551279275838461355?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,Great Location🏖Free Parking 🚗Aqua palms hotel,2 guests ·  · Studio ·  · 1 bed ·  · 1 private bath,$386 CAD,4.95
9,https://www.airbnb.ca/rooms/49049791?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,"Waikiki Banyan & Luxury( Free wifi & parking, 1Br)",4 guests ·  · 1 bedroom ·  · 3 beds ·  · 1 bath,$381 CAD,4.85
10,https://www.airbnb.ca/rooms/50201410?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,Ocean View Banyan Waikiki Corner Sea 2 Min 1 Car Max 7 People 4 Beds Yes Bathtub Yes WF,7 guests ·  · 1 bedroom ·  · 5 beds ·  · 1 bath,$276 CAD,4.7 
11,https://www.airbnb.ca/rooms/49130811?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,"Room Near Ala Moana Center, 1 Queen",2 guests ·  · Studio ·  · 1 bed ·  · 1 private bath,$226 CAD,4.63
12,https://www.airbnb.ca/rooms/34749923?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,"Shoreline Hotel Waikiki, One Queen Bed",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,$257 CAD,4.38
13,https://www.airbnb.ca/rooms/40064993?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,Mountain View Studio with Full Kitchen(Legal),2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$335 CAD,4.64
14,https://www.airbnb.ca/rooms/26549373?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,7F Fabulous Studio with Beautiful Park Views,3 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$302 CAD,4.69
15,https://www.airbnb.ca/rooms/27142524?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,"Luxury Condo 3bd, sleep6 w/Prkg ワイキキバニアン",6 guests ·  · 1 bedroom ·  · 3 beds ·  · 1 bath,$397 CAD,4.75
16,https://www.airbnb.ca/rooms/24522646?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,Modern Getaway - One Block from Waikiki Beach,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$318 CAD,4.9 
17,https://www.airbnb.ca/rooms/27466787?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,"Near Ala Moana Center, 2 Double beds",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 private bath,$226 CAD,4.47
18,https://www.airbnb.ca/rooms/48666313?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,29th floor ocean view Waikiki Hawaiian Monarch,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$291 CAD,4.84
19,https://www.airbnb.ca/rooms/550698815747997704?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,#27th Floor Waikiki Studio w/ Great Ocean View,2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,$346 CAD,4.65
20,https://www.airbnb.ca/rooms/21428179?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=3540ef88-629d-47f4-b3d4-309338dab0a5,"Newly decorated,Central Waikiki,Ocean view W wifi",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,$313 CAD,4.75
21,https://www.airbnb.ca/rooms/32497707?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,Premium Room with Balcony (No Cleaning Fee),4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,$249 CAD,4.07
22,https://www.airbnb.ca/rooms/41984952?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,Female Dorm Voted Best Hostel By Travel Channel,1 guest ·  · 1 bedroom ·  · 8 beds ·  · 1 shared bath,$80 CAD,4.55
23,https://www.airbnb.ca/rooms/43237129?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,Waikiki Studio Kitchenette with 1 Queen Bed,2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 private bath,$209 CAD,3.56
24,https://www.airbnb.ca/rooms/54265596?adults=1&check_in=2022-11-02&check_out=2022-11-03&previous_page_section_name=1000&federated_search_id=c2e7d342-fb10-49bb-ba17-182fc1c42125,Deluxe 2 Double Beds at The Equus,4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 private bath,$218 CAD,4.84
